# Quest/Season/ArumaAndBondsTree06Memo

＊選択肢メモ
||||||CENTER:|CENTER:|CENTER:|CENTER:|c
|CENTER:1.人とモンスターの違い|CENTER:2.「平和」とは何？|CENTER:3.「こころ」とは何？|CENTER:4.結婚に一番大事なものは何？|CENTER:5.どうすれば&br;人と上手に話せる？|シーホースと&br;結婚式|キス|h
//|~|~|~|~|相手を好きになる|||
//|~|~|~|安心|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|姿形が違う|自由でいられること|自分そのもの|情熱|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|安心|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
|~|互いを思いやること|ひとを愛する想い|情熱|いっぱいしゃべる|×|ミナヅキ|
|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|||
|~|~|~|安心|いっぱいしゃべる|×|×|
|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|||
|~|~|~|希望|いっぱいしゃべる|||
|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|○|シーホース|
|~|~|夢を叶える意思|情熱|いっぱいしゃべる|||
|~|~|~|~|しっかり聞く|×||
|~|~|~|~|相手を好きになる|||
|~|~|~|安心|いっぱいしゃべる|||
|~|~|~|~|しっかり聞く|×|×|
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
|~|~|自分そのもの|情熱|いっぱいしゃべる|||
|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|||
|~|~|~|安心|いっぱいしゃべる|||
|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|||
|~|~|~|希望|いっぱいしゃべる|||
|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|×|×|
|実は違いはない|あらそいがないこと|ひとを愛する想い|情熱|いっぱいしゃべる|×|ミナヅキ|
|~|~|~|~|しっかり聞く|×|×|
//|~|~|~|~|相手を好きになる|||
|~|~|~|安心|いっぱいしゃべる|×|×|
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|実は違いはない|あらそいがないこと|夢を叶える意思|情熱|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|安心|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|実は違いはない|あらそいがないこと|自分そのもの|情熱|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|安心|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|実は違いはない|自由でいられること|ひとを愛する想い|情熱|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|安心|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
|~|自由でいられること|夢を叶える意思|情熱|いっぱいしゃべる|×|×|
|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|||
|~|~|~|安心|いっぱいしゃべる|||
|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|||
|~|~|~|希望|いっぱいしゃべる|○|シーホース|
|~|~|~|~|しっかり聞く|○|ブラン|
|~|~|~|~|相手を好きになる|○|シーホース|
//|実は違いはない|自由でいられること|自分そのもの|情熱|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|安心|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
|~|互いを思いやること|ひとを愛する想い|情熱|いっぱいしゃべる|×|ミナヅキ|
|~|~|~|~|しっかり聞く|×|ミナヅキ|
|~|~|~|~|相手を好きになる|◯|シーホース|
|~|~|~|安心|いっぱいしゃべる|×|ミナヅキ|
|~|~|~|~|しっかり聞く|×|ブラン|
|~|~|~|~|相手を好きになる|◯|シーホース|
|~|~|~|希望|いっぱいしゃべる|◯|シーホース|
|~|~|~|~|しっかり聞く|◯||
|~|~|~|~|相手を好きになる|◯||
|~|~|夢を叶える意思|情熱|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
|~|~|~|安心|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
//|~|~|~|~|相手を好きになる|||
//|~|~|~|希望|いっぱいしゃべる|||
//|~|~|~|~|しっかり聞く|||
|~|~|~|~|相手を好きになる|○|×|
|~|~|自分そのもの|情熱|いっぱいしゃべる|×|×|
|~|~|~|~|しっかり聞く|×|ブラン|
|~|~|~|~|相手を好きになる|×|×|
|~|~|~|安心|いっぱいしゃべる|×|×|
|~|~|~|~|しっかり聞く|×|×|
|~|~|~|~|相手を好きになる|◯|シーホース|
|~|~|~|希望|いっぱいしゃべる|◯||
|~|~|~|~|しっかり聞く|×|×|
|~|~|~|~|相手を好きになる|◯|シーホース|


//人とモンスターはどこが違う？
//こころが違う
//姿形が違う
//実は違いはない

//平和とは何か？
//あらそいがないこと
//自由でいられること
//互いを思いやること

//「こころ」とは何か？
//ひとを愛する想い
//夢を叶える意思
//自分そのもの

//結婚にいちばん大事なこと
//情熱
//安心
//希望

//どうすれば人と上手に話せるか
//いっぱいしゃべる
//しっかり聞く
//相手を好きになる
